"";"Limited Edition (7 Cuts)";"150409";"11691-0";"";"20100202"
"00012805010528";"Day Parts-Party 2";"401104";"39534-0";"";"20070529"
"00012805010726";"Day Parts-Romance II";"401104";"39534-0";"";"20060110"
"00012805012928";"Digital Box Set";"401104";"39534-0";"";"20080311"
"00012805021425";"Romantic Melodies";"401104";"39534-0";"";"20060110"
"00012805021524";"Romantic Themes";"401104";"39534-0";"";"20060110"
"00012805029629";"Holiday Musik";"401104";"39534-0";"";"20051115"
"00012805029728";"Holiday Musik II";"401104";"39534-0";"";"20051115"
"00012805029827";"Renaissance Holiday";"401104";"39534-0";"";"20051115"
"00012805037327";"Fresh Aire Interludes";"401104";"39534-0";"";"20070612"
"00012805040020";"Fresh Aire Motivator";"401104";"39534-0";"";"20070605"
"00012805045025";"Inventions from the Blue Line";"401115";"39534-0";"";"20101207"
"00012805050029";"Olde English Madrigals and Folk Songs at Ely Cathedral";"401121";"39534-0";"";"20070619"
"00012805058629";"The Mozart Collection";"401121";"39534-0";"";"20070710"
"00012805058827";"Brother Sun, Sister Moon";"401123";"39534-0";"";"20070619"
"00012805059022";"The Handel Collection";"401121";"39534-0";"";"20070612"
"00012805059220";"Johann Sebastian Bach Collection";"401121";"39534-0";"";"20070612"
"00012805060523";"Chasing Grace";"401131";"39534-0";"";"20101207"
"00012805079129";"Surrounded";"401112";"39534-0";"";"20070529"
"00012805080026";"Classical Gas";"401104";"39534-0";"";"20070605"
"00012805080125";"The Compleat Four Seasons Antonio Vivaldi";"401099";"39534-0";"";"20070612"
"00012805088824";"Fresh Aire 8";"401104";"39534-0";"";"20070306"
"00012805099325";"Impressions";"401104";"39534-0";"";"20070529"
"00012805102322";"Halloween 2 Creatures Collection";"401104";"39534-0";"";"20060912"
"00012805102520";"Halloween 2 Creatures Collection";"401104";"39534-0";"";"20060912"
"00012805102827";"Halloween 2 Creatures Collection- Disc 1 (Music)";"59264";"3705-0";"";"200923"
"00012805102926";"Halloween";"401104";"39534-0";"";"20100119"
"00012805103121";"Halloween";"401104";"39534-0";"";"20051018"
"00012805103220";"Halloween: Monster Mix";"401104";"39534-0";"";"20051011"
"00012805122528";"Christmas Extraordinaire";"401104";"39534-0";"";"20051101"
"00012805122627";"Christmas Companion";"401104";"39534-0";"";"20061205"
"00012805122726";"Christmas Song";"401104";"39534-0";"";"20071009"
"00012805122825";"Christmas Song";"401104";"39534-0";"";"20071009"
"00012805123020";"Christmas Extraordinaire";"401104";"39534-0";"";"20071016"
"00012805123129";"Christmasville";"401104";"39534-0";"";"20081007"
"00012805177627";"American Spirit";"401104";"39534-0";"";"20060613"
"00012805198424";"Christmas";"401104";"39534-0";"";"20051101"
"00012805198820";"A Fresh Aire Christmas";"401104";"39534-0";"";"20051101"
"00012805199520";"Christmas In The Aire";"401104";"39534-0";"";"20051101"
"00012805199728";"Christmas Live";"401104";"39534-0";"";"20051101"
"";"The Christmas Angel";"401104";"39534-0";"";"20051108"
"00012805202022";"Christmas Celebration";"401104";"39534-0";"";"20051101"
"00012805208628";"Saving The Wildlife";"401104";"39534-0";"";"20070605"
"00012805301220";"Mannheim Steamroller Christmas Symphony";"401139";"39534-0";"";"201024"
"00012805308922";"Yellowstone: The Music Of Nature";"401104";"39534-0";"";"20070605"
"00012805309424";"To Russia With Love";"401104";"39534-0";"";"20070710"
"00012805500128";"Fresh Aire";"401104";"39534-0";"";"20070306"
"00012805500227";"Fresh Aire II";"401104";"39534-0";"";"20070306"
"00012805500326";"Fresh Aire III";"401104";"39534-0";"";"20070306"
"00012805500425";"Fresh Aire IV";"401104";"39534-0";"";"20070306"
"00012805500524";"Fresh Aire V";"401104";"39534-0";"";"20070306"
"00012805500623";"Fresh Aire VI";"401104";"39534-0";"";"20070306"
"00012805500722";"Fresh Aire 7";"401104";"39534-0";"";"20070306"
"00012805840019";"Fresh Aire";"59264";"3705-0";"";"20080415"
"00012805840026";"Fresh Aire III";"59264";"3705-0";"";"20080415"
"00012805840033";"Christmas";"401104";"39534-0";"";"20081104"
"00012805840040";"Christmas";"401104";"39534-0";"";"20081104"
"00012805840057";"A Fresh Aire Christmas";"401104";"39534-0";"";""
"00012805840064";"A Fresh Aire Christmas";"401104";"39534-0";"";"20081104"
"00012805840071";"Christmas In The Aire";"401104";"39534-0";"";"20081104"
"00012805840088";"Christmas In The Aire";"401104";"39534-0";"";"20081104"
"00012805840095";"Christmas Extraordinaire";"401104";"39534-0";"";"20081104"
"00012805840101";"Christmas Extraordinaire";"401104";"39534-0";"";"20081104"
"00012805840118";"Christmas Song";"401104";"39534-0";"";"20081104"
"00012805840125";"Christmas Song";"401104";"39534-0";"";"20100330"
"00012805840132";"Christmasville";"401104";"39534-0";"";"20081104"
"00012805840156";"Christmasville";"401104";"39534-0";"";"20081104"
"00012805840200";"Messengers of Christmas";"401104";"39534-0";"";"20081202"
"00012805850018";"Halloween (Music Disc)";"59264";"3705-0";"";"20070904"
"00012805850025";"Halloween (Music Disc)";"59264";"3705-0";"";"20070904"
"00012805850032";"All Hallow's Eve";"59264";"3705-0";"";"20100330"
"00012805850049";"Halloween (Music Disc)";"59264";"3705-0";"";"20904"
"00012805850056";"Halloween 2 Creatures Collection- Disc 1 (Music)";"59264";"3705-0";"";"20070904"
"00012805850063";"Halloween (EFX Disc)";"59264";"3705-0";"";"20070904"
"00012805850070";"Halloween (EFX Disc)";"59264";"3705-0";"";"20070904"
"00012805850087";"Halloween 2 Creatures Collection- Disc 2 (EFX & Dance Remixes)";"59264";"3705-0";"";"20070904"
"00012805850094";"Halloween 2 Creatures Collection- Disc 2 (EFX & Dance Remixes)";"59264";"3705-0";"";"20070904"
"00012805850117";"Halloween 2 Creatures Collection- Disc 2 (EFX & Dance Remixes)";"59264";"3705-0";"";"20070904"
"00012805850124";"Halloween 2 Creatures Collection- Disc 2 (EFX & Dance Remixes)";"59264";"3705-0";"";""
"00012805850131";"Halloween 2 Creatures Collection- Disc 1 (Music)";"59264";"3705-0";"";"20070920"
"00012805860017";"God Rest Ye Merry, Gentlemen - Rock";"59264";"3705-0";"";"20070823"
"00012805860024";"Faeries";"59264";"3705-0";"";"20070823"
"00012805860031";"Christmas";"401104";"39534-0";"";"20070928"
"00012805860048";"Christmas";"401104";"39534-0";"";"20070921"
"00012805860055";"Hallelujah";"59264";"3705-0";"";"20070921"
"00012805860062";"A Fresh Aire Christmas";"59264";"3705-0";"";"20070921"
"00012805860079";"A Fresh Aire Christmas";"59264";"3705-0";"";"20070921"
"00012805860086";"A Fresh Aire Christmas";"401104";"39534-0";"";"20070928"
"00012805860093";"Christmas In The Aire";"401104";"39534-0";"";"20070921"
"00012805860109";"Christmas In The Aire";"59264";"3705-0";"";"20070928"
"00012805860116";"Christmas Song";"59264";"3705-0";"";"20070921"
"00012805860123";"A Fresh Aire Christmas";"401104";"39534-0";"";"20070921"
"00012805860130";"Christmas";"59264";"3705-0";"";""
"00012805902977";"Creatures Of The Night Dance Instructional Video";"401104";"39534-0";"";"20060919"
"00012805903073";"Monster Mash";"401104";"39534-0";"";"20060919"
"00012805903172";"Psycho";"401104";"39534-0";"";"20060919"
"00012805903271";"Creatures Of The Night";"401104";"39534-0";"";"20060919"
"00012872004819";"Run This";"900736";"73933-0";"";"20171117"
"00012872004833";"Nothing and Nowhere";"900736";"73933-0";"";"20190311"
"00012872004840";"Bring Em Hope";"938433";"73933-0";"";"20190405"
"00012872004932";"Try Me";"938433";"73933-0";"";"20180922"
"00012928050128";"Radio Favorites";"251049";"3432-0";"";"20110517"
"00012928100427";"Down In Mississippi";"268667";"3432-0";"";"20110614"
"00012928250122";"Song Of The West - The Cowboy Collection";"121141";"3432-0";"";"20110329"
"00012928300223";"Telewacker";"249715";"3432-0";"";"20110510"
"00012928300322";"Kim Lenz & Her Jaguars";"259596";"3432-0";"";"20110517"
"00012928300520";"Number One Hit Record!";"257528";"3432-0";"";"20110510"
"00012928300629";"The Hot Guitars Of Biller & Wakefield";"267331";"3432-0";"";""
"00012928301329";"Rhythm Rhyme And Truth";"257528";"3432-0";"";"20110510"
"00012928500128";"Masters Of Modern Blues";"272081";"3432-0";"";"20110628"
"00012928500227";"Masters Of Modern Blues";"259599";"3432-0";"";"20110517"
"00012928500425";"Amazing Grace";"263724";"3432-0";"";"20110531"
"00012928500524";"Otis Spann's Chicago Blues";"259603";"3432-0";"";"20110628"
"00012928501521";"With Big Walter Horton";"259589";"3432-0";"";"20110517"
"00012928501729";"Traveling Through The Jungle: Fife and Drum Band Music From The Deep South";"275746";"3432-0";"";"20110712"
"00012928501828";"Goin' To Chicago";"270637";"3432-0";"";"20110621"
"00012928501927";"My Home Is In The Delta";"263726";"3432-0";"";"20110531"
"00012928502023";"Masters Of Modern Blues";"272083";"3432-0";"";"20110628"
"00012928502122";"Bottleneck Blues";"74959";"3432-0";"";"20110712"
"00012928502221";"Standing At The Crossroads";"259589";"3432-0";"";"20110517"
"00012928600125";"Live The Life";"259603";"3432-0";"";"20110614"
"00012928600224";"Crawling Kingsnake";"270635";"3432-0";"";"20110621"
"00012928600422";"Mandolin Blues";"74959";"3432-0";"";"20110712"
"00012928600729";"Levee Camp Blues";"263724";"3432-0";"";"20110531"
"00012928600828";"Goin' To Brownsville";"270638";"3432-0";"";"20110621"
"00012928650120";"Sound Machine Groove";"262458";"3432-0";"";"20110524"
"00012928650328";"Do The Rump!";"275247";"3432-0";"";"20110712"
"00012928650823";"She-Wolf";"261678";"3432-0";"";"20110524"
"00012928660129";"Rockabilly Uprising: The Best Of Mac Curtis";"272084";"3432-0";"";"20110628"
"00012928660327";"Rockabilly Rebellion: The Very Best Of Ray Campi Vol. 1";"266230";"3432-0";"";"20110607"
"00012928800228";"No Road Back Home";"272087";"3432-0";"";"20110628"
"00012928800624";"Cold Is The Night";"270634";"3432-0";"";"20110621"
"00012928800723";"Right Place, Wrong Time";"272089";"3432-0";"";""
"00012928800822";"Lord Of The Highway";"242746";"3432-0";"";"20110531"
"00012928801126";"Fair & Square";"242759";"3432-0";"";"20110510"
"00012928801225";"The Gift";"270634";"3432-0";"";"20110621"
"00012928801423";"Brand New";"247627";"3432-0";"";"20110412"
"00012928801522";"Dig All Night";"242746";"3432-0";"";"20110531"
"00012928801829";"Jimmie Dale Gilmore";"242759";"3432-0";"";"20110510"
"00012928801928";"Blue Soul";"270634";"3432-0";"";"20110621"
"00012928802321";"Battleground";"247627";"3432-0";"";"20110412"
"00012928802529";"Live At Slims: Volume 1";"270634";"3432-0";"";"20110621"
"00012928802727";"I Feel So Bad";"272081";"3432-0";"";"20110628"
"00012928802826";"Johnny Shines";"259589";"3432-0";"";"20110517"
"00012928802925";"Blue Blvd.";"242745";"3432-0";"";"20110419"
"00012928803120";"Been Gone Too Long";"268668";"3432-0";"";"20110614"
"00012928803328";"After the Farm";"249723";"3432-0";"";"20110607"
"00012928803526";"Just Like Old Times";"274091";"3432-0";"";"20110705"
"00012928803625";"Live At Slim's Volume 2";"270634";"3432-0";"";"20110621"
"00012928803922";"Tennessee Border";"272092";"3432-0";"";"20110628"
"00012928804028";"Blue Collar Blues";"274083";"3432-0";"";"20110705"
"00012928804424";"Live In Las Vegas";"261571";"3432-0";"";"20110524"
"00012928804622";"Tribal Thunder";"197791";"3432-0";"";"20110412"
"00012928804721";"Once More With Feeling";"249723";"3432-0";"";"20110607"
"00012928804929";"Museum Of Heart";"242745";"3432-0";"";"20110419"
"00012928805025";"I'm A Texan";"247627";"3432-0";"";"20110412"
"00012928805322";"Jumping From 6 to 6";"251049";"3432-0";"";"20110705"
"00012928805421";"King Of California";"242745";"3432-0";"";"20110419"
"00012928805520";"Unknown Territory";"197791";"3432-0";"";"20110412"
"00012928805629";"Jumping From 6 to 6";"251049";"3432-0";"";"20110426"
"00012928805827";"Tulare Dust: A Songwriters' Tribute to Merle Haggard";"74959";"3432-0";"";"20110705"
"00012928805926";"Untamed";"274091";"3432-0";"";"20110712"
"00012928806022";"Up On The Lowdown";"245237";"3432-0";"";"20110405"
"00012928806121";"Cheatin' Heart Attack";"251050";"3432-0";"";"20110426"
"00012928806329";"Your Love and Other Lies";"242761";"3432-0";"";"20110329"
"00012928806428";"Swingin' West";"251049";"3432-0";"";"20110426"
"00012928806626";"The Rose of the San Joaquin";"121141";"3432-0";"";"20110329"
"00012928806725";"Rockabilly Filly";"249723";"3432-0";"";"20110607"
"00012928806824";"Sleeping With A Stranger";"266228";"3432-0";"";"20110607"
"00012928807029";"Blessed Or Damned";"251050";"3432-0";"";"20110426"
"00012928807326";"You Can Say That Again";"261606";"3432-0";"";"20110524"
"00012928807425";"Interstate City";"249722";"3432-0";"";"20110419"
"00012928807722";"Small Revelations";"245237";"3432-0";"";"20110405"
"00012928807920";"Blue Pony";"247626";"3432-0";"";"20110412"
"00012928808125";"The Long Way Around";"121141";"3432-0";"";"20110329"
"00012928808224";"I Hate These Songs";"251050";"3432-0";"";"20110426"
"00012928808323";"Feelin' Kinda Lucky";"251049";"3432-0";"";"20110426"
"00012928808422";"Poison Love";"242761";"3432-0";"";"20110329"
"00012928808521";"Hot Rod Lincoln";"253917";"3432-0";"";"20110503"
"00012928808620";"American Music";"92627";"3432-0";"";"20110405"
"00012928808927";"Friends Of Mine";"242754";"3432-0";"";"20110524"
"00012928809122";"Blackjack David";"242745";"3432-0";"";"20110419"
"00012928809221";"Dedicated To You";"251115";"3432-0";"";"20110426"
"00012928809429";"Swingin' Stampede";"253875";"3432-0";"";"20110503"
"00012928809726";"The Secret Handshake";"263725";"3432-0";"";"20110531"
"00012928809825";"Drive You Home Again";"245237";"3432-0";"";"20110405"
"00012928810029";"Raise A Ruckus";"253917";"3432-0";"";"20110503"
"00012928810326";"Broken Things";"247626";"3432-0";"";"20110412"
"00012928810425";"Tall Tales";"253875";"3432-0";"";"20110503"
"00012928810722";"The Long Ride";"242754";"3432-0";"";"20110524"
"00012928810821";"The One And Only";"259598";"3432-0";"";"20110517"
"00012928811026";"More Million Sellers";"257535";"3432-0";"";"20110510"
"00012928811125";"Cruel Moon";"242761";"3432-0";"";"20110405"
"00012928811521";"Make Up For The Lost Time";"266229";"3432-0";"";"20110607"
"00012928812221";"Public Domain: Songs From The Wild Land";"242745";"3432-0";"";"20110419"
"00012928812320";"Night Tide";"251049";"3432-0";"";"20110426"
"00012928812429";"Dev'lish Mary";"253875";"3432-0";"";"20110503"
"00012928812528";"Password";"263725";"3432-0";"";"20110531"
"00012928812924";"No Stranger To A Tele";"249715";"3432-0";"";"20110419"
"00012928813228";"Borderland";"121141";"3432-0";"";"20110322"
"00012928813525";"Buddy & Julie Miller";"245222";"3432-0";"";"20110405"
"00012928813723";"Here I Am In Dallas";"261538";"3432-0";"";"20110524"
"00012928813822";"Tied To The Wheel";"253917";"3432-0";"";"20110503"
"00012928814027";"Best Of The Hightone Years";"251050";"3432-0";"";"20110426"
"00012928814126";"Best Of The Hightone Years";"247627";"3432-0";"";"20110412"
"00012928814225";"26 Days On The Road";"249716";"3432-0";"";"20110510"
"00012928814423";"Out In California";"249722";"3432-0";"";"20110419"
"00012928814720";"Ghost Train";"253875";"3432-0";"";"20110503"
"00012928814829";"Trouble Bound";"92627";"3432-0";"";"20110405"
"00012928814928";"Midnight And Lonesome";"242761";"3432-0";"";"20110329"
"00012928815123";"Heritage of the Blues";"263723";"3432-0";"";"20110531"
"00012928815321";"Skull & Crossbones Blues";"259589";"3432-0";"";"20110517"
"00012928815420";"Modern Art";"121141";"3432-0";"";"20110322"
"00012928815529";"I Wanna Go Home";"259603";"3432-0";"";"20110621"
"00012928815628";"Shake It Baby";"261678";"3432-0";"";"20110524"
"00012928815826";"Train Home";"245237";"3432-0";"";"20110405"
"00012928815925";"The Complete Hightone Sessions";"268667";"3432-0";"";"20110621"
"00012928816328";"Continental Stomp";"253875";"3432-0";"";"20110503"
"00012928816526";"Indians Cowboys Horses Dogs";"121141";"3432-0";"";"20110322"
"00012928816625";"Don't Look For A Heartache";"242759";"3432-0";"";"20110510"
"00012928816724";"Guest House";"242749";"3432-0";"";"20110614"
"00012928816823";"Bandera Highway";"249723";"3432-0";"";"20110607"
"00012928816922";"Rockin' Big Sandy";"251049";"3432-0";"";"20110426"
"00012928817028";"Love Snuck Up";"245222";"3432-0";"";"20110405"
"00012928817127";"My Name Is Deke";"257532";"3432-0";"";"20110510"
"00012928817226";"Settle For Love";"242746";"3432-0";"";"20110531"
"00012928817325";"For The Ladies";"249715";"3432-0";"";"20110419"
"00012928817424";"Timeless";"268670";"3432-0";"";"20110614"
"00012928817523";"The Lost Topic Tapes: Cowes Harbour 1957";"242754";"3432-0";"";"20110524"
"00012928817622";"The Lost Topic Tapes: Isle of Wight 1957";"242754";"3432-0";"";"20110524"
"00012928817721";"Hotwalker";"121141";"3432-0";"";"20110322"
"00012928817820";"Rum & Rodeo";"274091";"3432-0";"";"20110712"
"00012928818223";"Got Love";"267325";"3432-0";"";"20110607"
"00012928818322";"Up To My Old Tricks Again";"259597";"3432-0";"";"20110517"
"00012928818629";"King Of Dieselbilly";"253917";"3432-0";"";"20110503"
"00012928819022";"Love & Fear";"121141";"3432-0";"";"20110322"
"00012928819220";"Going Back To Brooklyn";"242748";"3432-0";"";"20110510"
"00012928819428";"The Golden West";"267324";"3432-0";"";"20110607"
"00012928819626";"Wounded Heart Of America";"121141";"3432-0";"";"20110329"
"00013431003724";"Dream";"100681";"6338-0";"";"20070220"
"00013431100461";"Goza Mi Timbal";"100516";"26087-0";"";"20030422"
"00013431102762";"Live At The Loa - Summer Wind";"100558";"6781-0";"";"20060704"
"00013431103165";"Out Of Sight!";"100656";"6338-0";"";"20060718"
"00013431103660";"At Last";"115363";"6781-0";"";"20060523"
"00013431200420";"The Charlie Byrd Christmas Album";"100825";"6338-0";"";"20070130"
"00013431201427";"The Washington Guitar Quintet";"100825";"6338-0";"";"20070320"
"00013431210221";"Here At The Mayflower";"117488";"6338-0";"";"20060801"
"00013431210528";"Virtuosi";"115463";"6781-0";"";"20060613"
"00013431210627";"In Blue";"100685";"6781-0";"";"20060314"
"00013431210726";"Tales Of Wonder";"115432";"6781-0";"";"20060411"
"00013431210825";"Ballads And Blues";"100698";"6781-0";"";"20060620"
"00013431211228";"Blue Moon";"112812";"6338-0";"";"20061003"
"00013431211426";"Live At The Blue Note";"115392";"6338-0";"";"20070220"
"00013431211723";"From The Beginning";"100553";"6338-0";"";"20061205"
"00013431211822";"Two Darn Hot";"100687";"6338-0";"";"20060718"
"00013431212027";"Conga Caliente";"100656";"6338-0";"";"20060718"
"00013431212126";"Duets";"100540";"6338-0";"";"20070227"
"00013431212423";"Secret Heart";"115419";"6698-0";"";"20060627"